item_name,price,practitioner_payroll,foundation_payroll
BIOPSIA,20.00,0.00,20.00
CITOLOGIAS EXTERNAS,5.00,0.00,5.00
CONSULTA DE CARDIOLOGIA,12.00,10.00,2.00
CONSULTA DE CIRUGIA,12.00,10.00,2.00
CONSULTA DE GASTROENTEROLOGIA,12.00,10.00,2.00
CONSULTA DE GINECOLOGIA+CAUTERIZACION,20.00,12.00,8.00
CONSULTA DE GINECOLOGIA+CITOLOGIA DE SECRECIÓN MAMARIA,15.00,9.00,6.00
CONSULTA DE GINECOLOGIA+CITOLOGIA+COLPOSCOPIA,20.00,12.00,8.00
CONSULTA DE GINECOLOGIA+COLOCACION DE APARATO,20.00,12.00,8.00
CONSULTA DE GINECOLOGIA+ECOGRAMA,12.00,7.20,4.80
CONSULTA DE GINECOLOGIA-OBSTETRICIA,6.00,3.60,2.40
CONSULTA DE MEDICINA INTERNA,5.00,3.00,2.00
CONSULTA DE NEFROLOGÍA,12.00,10.00,2.00
CONSULTA DE NEUMOLOGIA,8.00,6.00,2.00
CONSULTA DE NEUMOLOGIA+ESPIROMETRÍA,12.00,10.00,2.00
CONSULTA DE NUTRICIÓN,5.00,3.00,2.00
CONSULTA DE PEDIATRIA,5.00,3.00,2.00
CONSULTA DE PSICOLOGIA,5.00,3.00,2.00
CONSULTA DE PSICOLOGIA PAREJA/FAMILIA,8.00,4.80,3.20
CONSULTA DE TRAUMATOLOGIA,5.00,3.00,2.00
CONSULTA DE UROLOGÍA,15.00,12.00,3.00
ESPIROMETRÍA,6.00,5.00,1.00
REGIMEN DE NUTRICIÓN,5.00,3.00,2.00
TOMA DE MUESTRA DE BIOPSIA,20.00,12.00,8.00
