item_name,price,practitioner_payroll,foundation_payroll
ECOGRAMA ABDOMINAL,8,3.2,4.8
ECOGRAMA HEPATOBILIAR,6,2.4,3.6
ECOGRAMA MAMARIO,7,2.8,4.2
ECOGRAMA MAMARIO DOPPLER,10,4,6
ECOGRAMA MIEMBRO DOPPLER ARTERIAL,10,5,5
ECOGRAMA MIEMBRO DOPPLER VENOSO,10,5,5
ECOGRAMA MORFOGENETICO,10,4,6
ECOGRAMA OBSTETRICO,5,2,3
ECOGRAMA OBSTETRICO 3D-4D,10,4,6
ECOGRAMA PARTES BLANDAS,6,2.4,3.6
ECOGRAMA PELVICO,5,2,3
ECOGRAMA PELVICO-TRANSVAGINAL,10,4,6
ECOGRAMA PERFIL BIOFISICO,8,3.2,4.8
ECOGRAMA PERFIL HERMODINAMICO,10,4,6
ECOGRAMA PLACENTARIO DOPPLER,10,4,6
ECOGRAMA PROSTATICO TRANSRECTAL,10,4,6
ECOGRAMA PROSTATICO TRANSVESICAL,7,2.8,4.2
ECOGRAMA RENAL,6,2.4,3.6
ECOGRAMA RENAL DOPPLER,10,4,6
ECOGRAMA RENAL+VIAS URINARIAS,7,2.8,4.2
ECOGRAMA TESTICULAR,7,2.8,4.2
ECOGRAMA TESTICULAR DOPPLER,10,4,6
ECOGRAMA TIROIDEO,7,2.8,4.2
ECOGRAMA TIROIDEO DOPPLER,10,4,6
ECOGRAMA TRANSFONTANELAR,10,4,6
ECOGRAMA TRANSVAGINAL,7,2.8,4.2
ECOGRAMA TRANSVAGINAL DOPPLER,10,4,6
